Gene,Predicted Label,Probability
FANCG,[1],[0.55891174]
CUL4A,[1],[0.5581631]
HS6ST2,[1],[0.55790913]
AKAP10,[1],[0.55768466]
CNOT3,[1],[0.55748016]
AZIN2,[1],[0.55713654]
U2AF1L4,[1],[0.5567327]
EIF3I,[1],[0.55663484]
STK11,[1],[0.5563931]
CSNK1D,[1],[0.55441993]
EIF4A1,[1],[0.55383044]
PFKP,[1],[0.55335635]
CLDN4,[1],[0.552989]
BARD1,[1],[0.5528357]
ATOH1,[1],[0.5526841]
ADAM15,[1],[0.55260855]
MECOM,[1],[0.552094]
COPS7A,[1],[0.5519515]
DDX39B,[1],[0.5515293]
DOCK10,[1],[0.55139667]
PTPN6,[1],[0.55101657]
CDK7,[1],[0.55088633]
ELF1,[1],[0.5508757]
DCAF6,[1],[0.55087453]
GNB1,[1],[0.55086994]
GTF2F2,[1],[0.5507926]
ARL4D,[1],[0.55052406]
DDX1,[1],[0.5501711]
CMTR1,[1],[0.5499866]
CREBBP,[1],[0.54980487]
SEMA3C,[1],[0.5494174]
SMYD3,[1],[0.54933965]
CYP2C9,[1],[0.5491567]
AKAP1,[1],[0.5487575]
DNAH14,[1],[0.5477732]
COL12A1,[1],[0.54750985]
DNAJC15,[1],[0.54739094]
PPL,[1],[0.5470588]
MAD1L1,[1],[0.5470417]
APLP2,[1],[0.54670995]
ITGB5,[1],[0.546129]
CD2AP,[1],[0.5459995]
CHST1,[1],[0.5457509]
FAM168B,[1],[0.5455827]
ANKZF1,[1],[0.5454183]
HMGA2,[1],[0.5448411]
HLA-B,[1],[0.5435159]
CLDN2,[1],[0.5432343]
DEPDC5,[1],[0.54316646]
NRG2,[1],[0.5427711]
NFKB2,[1],[0.54254603]
ARHGAP1,[1],[0.54228354]
HSPA5,[1],[0.54227304]
C11orf49,[1],[0.5419526]
APTX,[1],[0.5416663]
DST,[1],[0.5414997]
DISP1,[1],[0.5412066]
SPIDR,[1],[0.54103243]
LPXN,[1],[0.54103214]
MEIS1,[1],[0.5410126]
NAPA,[1],[0.5408132]
FRAS1,[1],[0.54001945]
PDE4B,[1],[0.5396412]
CARM1,[1],[0.5394213]
KDM6A,[1],[0.5393063]
RNF31,[1],[0.5391892]
FSTL1,[1],[0.5388388]
ARHGEF7,[1],[0.53865147]
PTBP1,[1],[0.5374048]
RAF1,[1],[0.53721863]
KCNMB1,[1],[0.53679264]
B3GALT5,[1],[0.53669345]
D2HGDH,[1],[0.53648394]
PCDH11Y,[1],[0.53613937]
OXSR1,[1],[0.53585184]
COX17,[1],[0.5358071]
LIN28A,[1],[0.5357473]
DOCK1,[1],[0.5356398]
CASP2,[1],[0.535445]
CDC42BPA,[1],[0.53527385]
ACAD9,[1],[0.53511345]
CCND1,[1],[0.5350944]
ITPR1,[1],[0.5345738]
DDOST,[1],[0.5342676]
METTL9,[1],[0.5338274]
CYC1,[1],[0.5336347]
IQGAP1,[1],[0.5335628]
DAO,[1],[0.5335391]
HPRT1,[1],[0.53334814]
RDX,[1],[0.533227]
CCNC,[1],[0.5317644]
RPN1,[1],[0.5315856]
CTNND1,[1],[0.53151846]
IQSEC2,[1],[0.53097206]
FAM91A1,[1],[0.530844]
DNM2,[1],[0.5302456]
CLSTN1,[1],[0.5299087]
CDC42EP4,[1],[0.5296207]
HMGB1,[1],[0.5295368]
DUSP16,[1],[0.5293045]
COL1A1,[1],[0.5292014]
PCCB,[1],[0.5291204]
AURKA,[1],[0.5290218]
RAD51B,[1],[0.5285654]
CDK12,[1],[0.52853453]
FKBP4,[1],[0.52851814]
CTIF,[1],[0.52837527]
BAHD1,[1],[0.52823234]
CHST11,[1],[0.5280804]
ACIN1,[1],[0.5280516]
CKB,[1],[0.528035]
COL4A6,[1],[0.5279637]
CUL1,[1],[0.527406]
CSDE1,[1],[0.5271297]
TRMT12,[1],[0.52692115]
ARHGDIB,[1],[0.526384]
EPHA5,[1],[0.52618456]
CLIP2,[1],[0.5260735]
ARFGAP2,[1],[0.52590215]
ANKLE2,[1],[0.52547276]
H2BC5,[1],[0.52512103]
PYCARD,[1],[0.52508414]
NAP1L1,[1],[0.52487165]
NRIP1,[1],[0.52480966]
CLTC,[1],[0.5247174]
FGFR1,[1],[0.52460015]
FUS,[1],[0.52423614]
ROCK2,[1],[0.5240067]
ADAM12,[1],[0.52387744]
BRD4,[1],[0.5237109]
DNAJB6,[1],[0.52365786]
SMARCA4,[1],[0.52350444]
DOCK3,[1],[0.52319014]
KIF7,[1],[0.52289635]
COL3A1,[1],[0.5217132]
CPSF7,[1],[0.521137]
EWSR1,[1],[0.52085274]
RPS15A,[1],[0.520806]
PLD2,[1],[0.5206828]
SPAG9,[1],[0.5206534]
CBX5,[1],[0.5205417]
AP4S1,[1],[0.5204958]
CLIC4,[1],[0.5202227]
BNIP3,[1],[0.5201608]
PERP,[1],[0.5200777]
IGF2BP3,[1],[0.5195557]
RUNX3,[1],[0.51951265]
DLG5,[1],[0.5189481]
GSTP1,[1],[0.51864207]
ACP2,[1],[0.51852626]
TBC1D14,[1],[0.5180287]
DCUN1D2,[1],[0.51693547]
PTPRU,[1],[0.5167408]
LAPTM5,[1],[0.5162597]
GGT5,[1],[0.5162276]
CCT7,[1],[0.5161877]
ISCA1,[1],[0.5153111]
CCL3,[1],[0.51530653]
NLN,[1],[0.51529646]
EPB41,[1],[0.51502913]
CCT4,[1],[0.5145926]
CDK14,[1],[0.5143811]
SRSF3,[1],[0.51434994]
MKNK2,[1],[0.5142885]
GTF3C1,[1],[0.5133341]
CNBP,[1],[0.5131918]
MMP15,[1],[0.5127535]
CD55,[1],[0.5121799]
TAOK1,[1],[0.51180255]
ABCE1,[1],[0.5116604]
ATP11A,[1],[0.5115044]
ATP11B,[1],[0.51126724]
MAP2K1,[1],[0.51125574]
DCTN1,[1],[0.5112362]
PHC1,[1],[0.51113224]
ASL,[1],[0.5107226]
EXOSC6,[1],[0.51026416]
CPSF6,[1],[0.5102478]
MCC,[1],[0.5099371]
GOLIM4,[1],[0.50963724]
MYO18A,[1],[0.5094857]
FBXW5,[1],[0.5094617]
EPB41L2,[1],[0.5093739]
PARD3,[1],[0.50910264]
CKAP2,[1],[0.5089697]
CALR,[1],[0.50852823]
GLS,[1],[0.5080552]
DLG1,[1],[0.5080486]
FBXO11,[1],[0.50804317]
POLD2,[1],[0.5079764]
EIF3E,[1],[0.5076154]
CPT1C,[1],[0.5073433]
CLDN14,[1],[0.5072691]
FCER1G,[1],[0.50707275]
