Gene,Predicted Label,Probability
ITGB8,[1],[0.82266897]
HLA-DPA1,[1],[0.8222127]
PTPRE,[1],[0.82072526]
GNAI1,[1],[0.8197094]
GRM2,[1],[0.8192687]
RPS6KB1,[1],[0.81914675]
MAP2K6,[1],[0.81907856]
PTPRJ,[1],[0.8187196]
TCF3,[1],[0.81816936]
THRB,[1],[0.8181198]
HCK,[1],[0.81801236]
ETS1,[1],[0.8178335]
PPP1R3A,[1],[0.8178157]
ZMYM2,[1],[0.81750256]
ARHGAP32,[1],[0.8171457]
USP8,[1],[0.8170913]
MAML2,[1],[0.81688374]
IGHV3-11,[1],[0.81648374]
MYH7,[1],[0.81635725]
STUB1,[1],[0.8163097]
CEP290,[1],[0.81622535]
GSK3B,[1],[0.81601745]
TNFRSF10A,[1],[0.8157398]
TEAD3,[1],[0.81561494]
PDGFC,[1],[0.81491506]
RPS6KA6,[1],[0.8147561]
PRKAA2,[1],[0.81449914]
DNM2,[1],[0.8143086]
PPP2CA,[1],[0.8141915]
SHH,[1],[0.81316745]
SMAD5,[1],[0.8131428]
CAV1,[1],[0.8130982]
PSMB5,[1],[0.8130754]
PPARA,[1],[0.81283116]
WWP1,[1],[0.81278944]
HLA-DQB1,[1],[0.81267595]
ATP7A,[1],[0.812668]
RFC2,[1],[0.8119828]
DCC,[1],[0.8119679]
CREB5,[1],[0.8119526]
FREM1,[1],[0.81189185]
ITGA7,[1],[0.81155425]
TLR6,[1],[0.81137544]
VPS28,[1],[0.8112985]
TOP3A,[1],[0.8110766]
DCN,[1],[0.8101837]
PSMC2,[1],[0.80956084]
GNAQ,[1],[0.808784]
AKAP13,[1],[0.8087409]
VPS37D,[1],[0.80789113]
MAP2K1,[1],[0.8073117]
PROS1,[1],[0.8072261]
PCOLCE2,[1],[0.80667365]
SMARCA2,[1],[0.8065142]
ZBTB16,[1],[0.80511993]
VPS37B,[1],[0.8047517]
E2F3,[1],[0.80452216]
AQR,[1],[0.80439264]
PAK2,[1],[0.80355185]
MASP2,[1],[0.8026988]
TNNC1,[1],[0.8026045]
NCOA1,[1],[0.8023247]
RPS6KA4,[1],[0.80195826]
NLRP3,[1],[0.8017388]
CCND1,[1],[0.80144787]
GATA2,[1],[0.80118644]
PSMB2,[1],[0.8001726]
MRAS,[1],[0.79911035]
BIRC5,[1],[0.7989954]
PRKAR1A,[1],[0.79860383]
IL7,[1],[0.79810876]
SMURF1,[1],[0.7980212]
PSMA1,[1],[0.7979477]
PF4V1,[1],[0.7975213]
TRADD,[1],[0.79717964]
SQSTM1,[1],[0.7968223]
CSF3R,[1],[0.7965491]
TSC2,[1],[0.7963349]
RDX,[1],[0.7955979]
RB1CC1,[1],[0.79411054]
RACGAP1,[1],[0.7939086]
TAF5,[1],[0.79348713]
HDAC2,[1],[0.79327285]
BCL9,[1],[0.7930732]
HECW1,[1],[0.7930254]
MUC6,[1],[0.7917781]
HSP90AB1,[1],[0.7911778]
FOXO4,[1],[0.7906472]
XPO1,[1],[0.7904398]
PSMC6,[1],[0.7903339]
SMC1B,[1],[0.7901083]
GRIN2B,[1],[0.78966516]
KCNJ9,[1],[0.78886926]
PSMB9,[1],[0.78857124]
CTNND2,[1],[0.78824586]
KL,[1],[0.78818923]
PTPRM,[1],[0.7881723]
XYLT1,[1],[0.78801554]
LMO7,[1],[0.7879926]
NFIC,[1],[0.78760827]
PYY,[1],[0.7870451]
OXT,[1],[0.7869981]
MAGI1,[1],[0.7869003]
ITGB5,[1],[0.78677773]
RBBP6,[1],[0.78671706]
TBL1X,[1],[0.78661305]
FGF23,[1],[0.78651303]
TLR7,[1],[0.7860391]
MRC1,[1],[0.7860362]
RSPO1,[1],[0.7859208]
TJP1,[1],[0.7851499]
SMARCC2,[1],[0.784726]
ITGA4,[1],[0.7844787]
SERPING1,[1],[0.7836152]
PTGER3,[1],[0.78303117]
SIRT1,[1],[0.7824764]
PRKCZ,[1],[0.78247446]
CXCL10,[1],[0.7820048]
LRP8,[1],[0.7819847]
ZNF479,[1],[0.7812935]
FASLG,[1],[0.7812198]
SNAI1,[1],[0.78115684]
