Gene,Predicted Label,Probability
SULF1,[1],[0.70751464]
AP1G1,[1],[0.7073669]
LIFR,[1],[0.70730555]
HMGB1,[1],[0.70687854]
AXIN1,[1],[0.7060659]
ASPM,[1],[0.70597]
COL4A3,[1],[0.70576936]
BAZ1A,[1],[0.7056548]
PXN,[1],[0.7055822]
TNIK,[1],[0.7052046]
COL16A1,[1],[0.7052029]
GRIK2,[1],[0.70503145]
MSH6,[1],[0.7039197]
EFNA5,[1],[0.7037548]
NFATC2,[1],[0.7035938]
ZMIZ1,[1],[0.7029221]
LYN,[1],[0.7029021]
BMPR1A,[1],[0.7029019]
DOCK7,[1],[0.7028273]
FANCD2,[1],[0.70213234]
ATP2B2,[1],[0.7021239]
SCN5A,[1],[0.7020533]
DNM2,[1],[0.70076567]
TBX4,[1],[0.70062065]
MYH7,[1],[0.7003476]
TLR4,[1],[0.7003386]
RAD21,[1],[0.7002961]
EEF1G,[1],[0.70005125]
IRS1,[1],[0.6997849]
SNAP25,[1],[0.69957507]
SMCHD1,[1],[0.6995367]
GRIA1,[1],[0.6990953]
PPP2R1A,[1],[0.69907236]
NUP98,[1],[0.6989659]
CASK,[1],[0.6989168]
HNRNPUL1,[1],[0.69888735]
ZEB2,[1],[0.6987672]
ZNF423,[1],[0.6986974]
STXBP5L,[1],[0.6985297]
MAGI2,[1],[0.69820637]
STAT5A,[1],[0.6979751]
ZFPM2,[1],[0.6978409]
COL6A1,[1],[0.6978164]
MED23,[1],[0.69759846]
PAPPA,[1],[0.6974356]
RARA,[1],[0.69664884]
MASP1,[1],[0.6963865]
PARP1,[1],[0.6960148]
EPHA5,[1],[0.6957578]
HOXA9,[1],[0.6955104]
CDC27,[1],[0.69535404]
MYOC,[1],[0.69534737]
IRX1,[1],[0.69534194]
NCAM1,[1],[0.694779]
DGKD,[1],[0.69441664]
NFIB,[1],[0.6940147]
CMYA5,[1],[0.6939289]
SORL1,[1],[0.69340134]
SLC3A2,[1],[0.6933342]
HECW2,[1],[0.6929486]
SRSF1,[1],[0.69278085]
CBLB,[1],[0.6923801]
KANK1,[1],[0.6921663]
GRIA4,[1],[0.6916088]
ARRB1,[1],[0.6912858]
DNAH10,[1],[0.69094306]
GRM3,[1],[0.69082606]
CDK6,[1],[0.6906581]
CHD8,[1],[0.6906505]
PYY,[1],[0.69060373]
AGO3,[1],[0.69055545]
ARHGAP36,[1],[0.69038296]
DNAH6,[1],[0.69033426]
NCOA1,[1],[0.6902779]
CSF2,[1],[0.69007826]
ADAMTS5,[1],[0.6897905]
TUBA1A,[1],[0.6896185]
LDLR,[1],[0.6893986]
GNB1,[1],[0.6890816]
DYNC1I1,[1],[0.68883115]
DROSHA,[1],[0.6886781]
HIVEP3,[1],[0.6875565]
TLR7,[1],[0.6868887]
SLC34A2,[1],[0.6866669]
MED12L,[1],[0.6866464]
CGNL1,[1],[0.68654954]
GRM5,[1],[0.68543786]
CSNK1E,[1],[0.6850061]
SOX4,[1],[0.6845084]
CSDE1,[1],[0.68450665]
RPL4,[1],[0.68434966]
THRAP3,[1],[0.6842547]
SYK,[1],[0.68418396]
CCAR1,[1],[0.68386835]
AP2M1,[1],[0.6836107]
RB1CC1,[1],[0.68335354]
NONO,[1],[0.6833494]
WASF2,[1],[0.68319607]
TRIOBP,[1],[0.6828539]
GRIK1,[1],[0.68261266]
SLC7A5,[1],[0.68260777]
RAI1,[1],[0.6816974]
ABL1,[1],[0.68091273]
DMXL2,[1],[0.68077374]
IL12A,[1],[0.6807644]
SPHKAP,[1],[0.6799642]
KALRN,[1],[0.6797913]
CECR2,[1],[0.6796662]
TMPRSS2,[1],[0.6793754]
PRKCB,[1],[0.67873394]
HDAC1,[1],[0.6784731]
NPR1,[1],[0.67841154]
ROCK1,[1],[0.67827344]
RPL10,[1],[0.67818314]
RPS2,[1],[0.6781365]
AMPH,[1],[0.67788076]
FRS2,[1],[0.67777115]
FOS,[1],[0.67717695]
TCF4,[1],[0.6770225]
RAPGEF1,[1],[0.67691]
RPLP0,[1],[0.67683154]
MYO3B,[1],[0.6765705]
DDB1,[1],[0.6763676]
LPL,[1],[0.6758333]
NRP2,[1],[0.67541116]
EDC4,[1],[0.675401]
GRIN2B,[1],[0.67506444]
TGOLN2,[1],[0.67477995]
ABCB1,[1],[0.67427117]
RBL1,[1],[0.67426085]
MLH1,[1],[0.67394865]
RBBP4,[1],[0.67393583]
PTPRN,[1],[0.67393064]
SND1,[1],[0.6736722]
PRDM16,[1],[0.67366827]
POLR1A,[1],[0.67360574]
AGTR1,[1],[0.673161]
ESRRG,[1],[0.67303205]
WRN,[1],[0.67301154]
ROCK2,[1],[0.6730052]
DCC,[1],[0.672841]
ITGA5,[1],[0.67267925]
NOS3,[1],[0.672679]
GSK3B,[1],[0.67257553]
PPFIA2,[1],[0.6725229]
SIN3B,[1],[0.6724291]
BAP1,[1],[0.6722488]
WASL,[1],[0.6721875]
BTK,[1],[0.67187953]
E2F3,[1],[0.67163205]
TANC1,[1],[0.67160374]
CNTRL,[1],[0.6712879]
KAT6B,[1],[0.6710145]
SEMA6A,[1],[0.6697832]
TRIM2,[1],[0.6696919]
TULP4,[1],[0.6696278]
TLE3,[1],[0.66959774]
ITGAX,[1],[0.6692785]
MAP3K4,[1],[0.66910696]
TUB,[1],[0.668799]
LAMB2,[1],[0.6687098]
TYK2,[1],[0.6683184]
VAV2,[1],[0.66819394]
MMP9,[1],[0.667644]
PPL,[1],[0.6672624]
FGG,[1],[0.66672474]
FOLH1,[1],[0.6663728]
DDX3X,[1],[0.666217]
TRAF6,[1],[0.6661666]
SLC6A17,[1],[0.6661264]
AMOT,[1],[0.6660445]
MEF2C,[1],[0.66533685]
SNRPN,[1],[0.66511124]
ADCY1,[1],[0.66498643]
PYGM,[1],[0.6648575]
CEP250,[1],[0.6645982]
GPR15,[1],[0.66440445]
ACTL6A,[1],[0.6643841]
CP,[1],[0.66433555]
CHRDL1,[1],[0.6642281]
SMARCA5,[1],[0.6640045]
XRCC6,[1],[0.66356564]
BMPR2,[1],[0.6632526]
GFRA1,[1],[0.6632461]
PABPC1,[1],[0.66297233]
GJA1,[1],[0.6628806]
