Gene,Predicted Label,Probability
FAF1,[1],[0.9977799]
CDH7,[1],[0.99776316]
VDAC2,[1],[0.99776137]
DCC,[1],[0.9977575]
BTK,[1],[0.99775]
IGLL5,[1],[0.99773633]
CKB,[1],[0.99771947]
PTPRJ,[1],[0.99770254]
KIF13A,[1],[0.9976979]
SBF2,[1],[0.9976914]
SF1,[1],[0.9976897]
COL5A1,[1],[0.9976642]
RPL23A,[1],[0.9976472]
PCM1,[1],[0.9976434]
SKP1,[1],[0.99763906]
PAX5,[1],[0.9976373]
TBX4,[1],[0.99763083]
JAK2,[1],[0.99762505]
HAND1,[1],[0.9976223]
SRSF4,[1],[0.99761224]
HIP1,[1],[0.99760723]
FANCM,[1],[0.99760556]
MUTYH,[1],[0.9976037]
PTPN13,[1],[0.99758637]
HSPA2,[1],[0.9975688]
SMARCC1,[1],[0.99756324]
CDH13,[1],[0.997549]
FGF2,[1],[0.99753845]
AHCTF1,[1],[0.9975297]
B3GNT7,[1],[0.99751675]
UNC45B,[1],[0.99751234]
CEP170,[1],[0.9975056]
DNM2,[1],[0.99749917]
NQO1,[1],[0.9974964]
CDKN2B,[1],[0.99749196]
CREB3L2,[1],[0.9974868]
PAX7,[1],[0.99748045]
MYO18B,[1],[0.9974795]
TRAF1,[1],[0.99747014]
