Gene,Predicted Label,Probability
CHD3,[1],[0.7965387]
CENPF,[1],[0.7962579]
ABL1,[1],[0.79600286]
VAV1,[1],[0.7959787]
ACTG1,[1],[0.79522955]
SIN3B,[1],[0.7949756]
CGNL1,[1],[0.7948495]
MMP9,[1],[0.7947646]
NOS1,[1],[0.7946313]
MYH10,[1],[0.7946175]
MGA,[1],[0.7944991]
BRIP1,[1],[0.7943234]
SLC18A3,[1],[0.794105]
GRM7,[1],[0.7938757]
FLRT2,[1],[0.7937927]
FBXL7,[1],[0.7936474]
FRS2,[1],[0.7933077]
IDH1,[1],[0.79306275]
TSC1,[1],[0.7923177]
LEF1,[1],[0.79219776]
NID1,[1],[0.7919972]
PRKACB,[1],[0.7914943]
ABCB1,[1],[0.7912964]
CLASP1,[1],[0.79129386]
NUP210,[1],[0.7909856]
GPR84,[1],[0.79085]
CMYA5,[1],[0.7907017]
AGT,[1],[0.79069394]
RACGAP1,[1],[0.7903714]
CBL,[1],[0.79010034]
KCNMA1,[1],[0.78998685]
EPB41L3,[1],[0.7896279]
TBL1X,[1],[0.7890689]
FGFR1,[1],[0.7889495]
CYFIP2,[1],[0.7887078]
SLC27A2,[1],[0.7886093]
TYK2,[1],[0.78834015]
PXN,[1],[0.7880113]
COL16A1,[1],[0.7879312]
MSH6,[1],[0.78778046]
PDS5B,[1],[0.7875618]
F2,[1],[0.78745687]
LAMB2,[1],[0.787004]
LTBP1,[1],[0.786991]
PIGR,[1],[0.7862061]
KIF2C,[1],[0.78619665]
CTTNBP2,[1],[0.786119]
SYCP2,[1],[0.78607494]
HDAC2,[1],[0.78590965]
AXIN1,[1],[0.7858896]
MAP3K7,[1],[0.7857363]
RHOB,[1],[0.78562534]
SALL4,[1],[0.78539634]
INSR,[1],[0.78511864]
RARA,[1],[0.78500766]
TXNIP,[1],[0.78490907]
ATP1A1,[1],[0.78452677]
PRKCB,[1],[0.7841731]
WWTR1,[1],[0.78404516]
GFRA1,[1],[0.7836926]
CD163,[1],[0.78349453]
ROBO2,[1],[0.78318554]
SLITRK5,[1],[0.78311443]
PARP1,[1],[0.7826375]
ELMO1,[1],[0.78173405]
MAML3,[1],[0.7816941]
JAG1,[1],[0.78153723]
LEP,[1],[0.78146285]
CUX1,[1],[0.7813334]
KCNB2,[1],[0.7812848]
GPLD1,[1],[0.78126884]
IRAK4,[1],[0.78093046]
FLNC,[1],[0.7804847]
AGO4,[1],[0.7800614]
HCFC1,[1],[0.7796952]
CHUK,[1],[0.77965677]
ADAM10,[1],[0.7792431]
