Gene,Predicted Label,Probability
PPP2R5D,[1],[0.9214432]
CHRM5,[1],[0.92098564]
COL16A1,[1],[0.92097867]
PPP2R1B,[1],[0.92022306]
TAF1A,[1],[0.92009187]
FASLG,[1],[0.91967285]
AQR,[1],[0.9196705]
EFNB3,[1],[0.91952664]
POLB,[1],[0.9189862]
GFRA2,[1],[0.91890204]
CDK14,[1],[0.91873324]
FRAT1,[1],[0.9186728]
FZD5,[1],[0.918509]
ARTN,[1],[0.9183579]
AVPR2,[1],[0.91815394]
MAPK11,[1],[0.9181232]
CTTN,[1],[0.9173277]
FZD6,[1],[0.91727567]
BIN1,[1],[0.91723096]
CR1,[1],[0.917221]
CSF2RA,[1],[0.91674155]
SF3B1,[1],[0.91656446]
HTR2B,[1],[0.91651803]
